No,Perguruan Tinggi,Peringkat,No. SK,Tahun SK,Wilayah,Tanggal Kadaluarsa,Status Kadaluarsa
1441,STIT YPI Payakumbuh,Baik,382/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,PTAS,2029-04-10,Masih berlaku
3551,STITEK Bina Taruna,C,486/SK/BAN-PT/Ak-PPJ/PT/V/2021,2021,16,2026-05-21,Masih berlaku
440,STITEK Dharma Yadi Makassar,Baik,2042/SK/BAN-PT/Ak/PT/XI/2024,2024,09,2029-11-12,Masih berlaku
1542,STITNU Al Hikmah Mojokerto,Baik,214/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,PTAS,2029-03-07,Masih berlaku
3997,STITNU Al-Mahsuni,Baik,890/SK/BAN-PT/Akred/PT/X/2020,2020,PTAS,2025-10-27,Masih berlaku
566,STITNU Sakinah Dharmasraya,Baik,1954/SK/BAN-PT/Ak/PT/X/2024,2024,PTAS,2029-10-19,Masih berlaku
2744,STIU Darul Hikmah Bekasi,Baik,1426/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-08-22,121 hari lagi kedaluwarsa
1219,STIU Dirosat Islamiyah Al-Hikmah Jakarta Selatan,Baik,1230/SK/BAN-PT/Ak.Ppj/PT/VI/2024,2024,PTAS,2029-07-04,Masih berlaku
390,STK Touye Paapaa Deiyai Keuskupan Timika,Baik,2143/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-26,Masih berlaku
3721,STKIP  Asy-Syafi iyah Internasional Medan,Tidak Terakreditasi,191/SK/BAN-PT/Ak-TMSP/PT/III/2021,2021,01,,Masih berlaku
1289,STKIP Abdi Wacana Wamena,Baik,1117/SK/BAN-PT/Ak/PT/V/2024,2024,14,2029-05-28,Masih berlaku
3207,STKIP Agama Hindu Amlapura,Baik,100/SK/BAN-PT/Akred/PT/III/2022,2022,08,2027-03-01,Masih berlaku
850,STKIP Ahlussunnah,Baik,1673/SK/BAN-PT/Ak.B/PT/VIII/2024,2024,10,2026-08-18,Masih berlaku
1712,STKIP Aisyiyah Riau,Baik,1179/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,17,2028-12-29,Masih berlaku
4012,STKIP Al Amin Dompu,Baik,820/SK/BAN-PT/Akred/PT/X/2020,2020,08,2025-10-06,166 hari lagi kedaluwarsa
1580,STKIP Al Hikmah Surabaya,Baik,166/SK/BAN-PT/PEPA-Ppj/PT/III/2024,2024,07,2029-03-06,Masih berlaku
3491,STKIP Al-Washliyah,Baik,597/SK/BAN-PT/Akred/PT/VI/2021,2021,13,2026-06-29,Masih berlaku
1643,STKIP Arrahmaniyah,Baik,34/SK/BAN-PT/Ak/PT/I/2024,2024,04,2029-01-23,Masih berlaku
3209,STKIP Babunnajah Pandeglang,Baik,103/SK/BAN-PT/Akred/PT/III/2022,2022,04,2027-03-01,Masih berlaku
3535,STKIP Banten,Baik,512/SK/BAN-PT/Akred/PT/VI/2021,2021,04,2026-06-02,Masih berlaku
3783,STKIP Bima,Baik,69/SK/BAN-PT/Akred/PT/II/2021,2021,08,2026-02-09,Masih berlaku
2102,STKIP Bina Bangsa Meulaboh,Baik,521/SK/BAN-PT/Ak/PT/VIII/2023,2023,13,2028-08-08,Masih berlaku
1657,STKIP Bina Insan Mandiri,B,1243/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,07,2028-12-13,Masih berlaku
3469,STKIP Budidaya,Baik,625/SK/BAN-PT/Akred/PT/VII/2021,2021,01,2026-07-13,Masih berlaku
2122,STKIP Darud Da wah Wal Irsyad Pinrang,Baik,491/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,09,2025-08-22,121 hari lagi kedaluwarsa
3317,STKIP Darussalam Cilacap,Baik,948/SK/BAN-PT/Akred/PT/XI/2021,2021,06,2026-11-02,Masih berlaku
1188,STKIP Dharma Wacana,Baik,1313/SK/BAN-PT/Ak.P/PT/VII/2024,2024,02,2026-07-02,Masih berlaku
3954,STKIP Gotong Royong Masohi,Baik,963/SK/BAN-PT/Akred/PT/XI/2020,2020,12,2025-11-18,Masih berlaku
3319,STKIP Hamzar,Baik,950/SK/BAN-PT/Akred/PT/XI/2021,2021,08,2026-11-02,Masih berlaku
1961,STKIP Harapan Bima,Baik,768/SK/BAN-PT/Ak/PT/X/2023,2023,08,2028-10-17,Masih berlaku
1600,STKIP Hermon Timika,Baik,119/SK/BAN-PT/Ak/PT/II/2024,2024,14,2029-02-20,Masih berlaku
1384,STKIP Hunimua,Baik,488/SK/BAN-PT/Ak/PT/IV/2024,2024,12,2029-04-29,Masih berlaku
371,STKIP Islam Sabilal Muhtadin Banjarmasin,Baik,2129/SK/BAN-PT/Ak/PT/XI/2024,2024,11,2029-11-26,Masih berlaku
1102,STKIP Ita Wotu Nusa,Baik,1359/SK/BAN-PT/Ak.P/PT/VII/2024,2024,12,2026-07-15,Masih berlaku
3584,STKIP Kie Raha,Baik,419/SK/BAN-PT/Akred/PT/V/2021,2021,12,2026-05-11,Masih berlaku
776,STKIP Kristen Wamena,Baik,1737/SK/BAN-PT/Ak/PT/IX/2024,2024,14,2029-09-03,Masih berlaku
3223,STKIP Kusumanegara,Baik Sekali,75/SK/BAN-PT/Akred/PT/II/2022,2022,03,2027-02-15,Masih berlaku
3888,STKIP Majenang,Baik,1053/SK/BAN-PT/Akred/PT/XII/2020,2020,06,2025-12-08,Masih berlaku
3016,STKIP Modern Ngawi,Baik,606/SK/BAN-PT/Ak.Ppj/PT/VIII/2022,2022,07,2027-08-16,Masih berlaku
3382,STKIP Muhammadiyah Aceh Barat Daya,Baik,800/SK/BAN-PT/Akred/PT/IX/2021,2021,13,2026-09-01,Masih berlaku
1380,STKIP Muhammadiyah Barru,B,497/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,09,2029-04-10,Masih berlaku
3160,STKIP Muhammadiyah Blora,Baik,238/SK/BAN-PT/Akred/PT/VI/2022,2022,06,2027-06-07,Masih berlaku
4011,STKIP Muhammadiyah Kalabahi,Baik,823/SK/BAN-PT/Akred/PT/X/2020,2020,15,2025-10-06,166 hari lagi kedaluwarsa
1928,STKIP Muhammadiyah Kuningan,Baik Sekali,820/SK/BAN-PT/Ak/PT/X/2023,2023,04,2028-10-31,Masih berlaku
2313,STKIP Muhammadiyah Lumajang,Baik,204/SK/BAN-PT/Ak/PT/III/2023,2023,07,2028-03-21,Masih berlaku
