No,Perguruan Tinggi,Program Studi,Program,Tanggal Terima,Status
1156,Universitas Pendidikan Indonesia,Film dan Televisi,S1,2019-02-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-04-02)
1154,Universitas Pendidikan Indonesia,Pendidikan Jasmani Sumedang,S2,2019-02-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-04-02)
1153,Universitas Pendidikan Indonesia,Sistem Informasi Kelautan (Kampus Serang),S1,2019-02-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-04-02)
1126,Universitas Islam Negeri Sultan Syarif Kasim Riau,Tadris IPS,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1123,Sekolah Tinggi Ilmu Tarbiyah Al Amin Indramayu,Pendidikan Islam Anak Usia Dini,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1124,Sekolah Tinggi Ilmu Tarbiyah Al Amin Indramayu,Pendidikan Guru Madrasah Ibtidaiyah,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1125,Universitas Ibnu Khaldun Bogor,Bimbingan dan Konseling Pendidikan Islam,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1121,Sekolah Tinggi Ilmu Al-Qur'an Islamic Centre Demak,Pendidikan Bahasa Arab,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1127,Sekolah Tinggi Ekonomi dan Bisnis Islam Darussalam Ogan Komering Ilir Palembang,Pendidikan Agama Islam,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1128,Sekolah Tinggi Ekonomi dan Bisnis Islam Darussalam Ogan Komering Ilir Palembang,Tadris Bahasa Inggris,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1120,Sekolah Tinggi Ilmu Al-Qur'an Islamic Centre Demak,Ekonomi Syariah,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1122,Sekolah Tinggi Ilmu Tarbiyah Al Amin Indramayu,Manajemen Pendidikan Islam,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1114,Sekolah Tinggi Imu Tarbiyah Al-Karimiyah Sumenep,Pemikiran Politik Islam,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1119,Institut Agama Islam Negeri Bukittinggi,Aqidah dan Filsafat Islam,S2,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1118,Institut Agama Islam Negeri Bukittinggi,Manajemen Pendidikan Islam,S2,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1117,Sekolah Tinggi Imu Tarbiyah Al-Karimiyah Sumenep,Manajemen Pendidkan Islam,S2,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1116,Sekolah Tinggi Imu Tarbiyah Al-Karimiyah Sumenep,Manajemen Bisnis Syariah,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1115,Sekolah Tinggi Imu Tarbiyah Al-Karimiyah Sumenep,Psikologi Islam,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1131,Universitas Islam Negeri Imam Bonjol Padang,Ilmu Perpustakaan dan Informasi Islam,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1113,Sekolah Tinggi Ilmu Tarbiyah Al-Hikmah Tebing Tinggi,Pendidikan Islam Anak Usia Dini,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1112,Sekolah Tinggi Agama Islam Alma'arif Way Kanan Lampung,Pendidikan Islam Anak Usia Dini,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1130,Sekolah Tinggi Ekonomi dan Bisnis Islam Darussalam Ogan Komering Ilir Palembang,Manajemen Pendidikan Islam,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1129,Sekolah Tinggi Ekonomi dan Bisnis Islam Darussalam Ogan Komering Ilir Palembang,Tadris Bahasa Indonesia,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1132,FAI Universitas Muhammadiyah Pontianak,Manajemen Bisnis Syariah,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1140,Institut Agama Islam  Bunga Bangsa Cirebon,Hukum Pidana Islam (Jinayah),S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1148,Institut Agama Islam Nasional Laa Roiba Bogor,Komunikasi dan Penyiaran Islam,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1147,Institut Agama Islam Negeri Ponorogo,Hukum Tatanegara (Siyasah Syar'iyyah),S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
1145,Sekolah Tinggi Ilmu Tarbiyah YAPTIP Pasaman Barat,Pendidikan Islam Anak Usia Dini,S1,2019-01-21,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-02-12)
