No,Perguruan Tinggi,Program Studi,Program,Tanggal Terima,Status
2217,Politeknik Semen Indonesia,Teknologi Mesin,D-III,2021-09-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2209,Politeknik Multimedia Nusantara,Animasi,S1 Terapan,2021-09-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2317,Universitas Muhammadiyah Sinjai,Rekayasa Perancangan Mekanik,S1 Terapan,2021-09-09,Dikembalikan ke Kementerian (2021-10-06)
2318,Politeknik Manufaktur Bandung,Teknologi Rekayasa Material Maju,S1 Terapan,2021-09-09,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-06)
2235,Institut Teknologi Dan Bisnis Indobaru Nasional,Kewirausahaan,S1,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2236,Institut Teknologi Dan Bisnis Sabda Setia,Sistem dan Teknologi Informasi,S1,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2237,Universitas Pgri Sumatera Barat,Sains Data,S1,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2238,Institut Teknologi Dan Bisnis Sabda Setia,Bisnis Digital,S1,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2239,Universitas Negeri Gorontalo,Peternakan,S2,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2240,Universitas Andalas,Sosiologi,S3,2021-09-07,Dikembalikan ke Kementerian (2021-10-05)
2232,Institut Teknologi Dan Bisnis Ahmad Dahlan Lamongan,Bisnis Digital,S1,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2231,Institut Teknologi Pagar Alam,Teknologi Hasil Pertanian,S1,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2233,Institut Teknologi Petroleum Balongan,Rekayasa Keselamatan Kebakaran,S1,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2234,Institut Teknologi Dan Bisnis Sabda Setia,Kewirausahaan,S1,2021-09-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-05)
2249,Institut Agama Islam Negeri Kerinci,Manajemen Keuangan Syariah,S1,2021-09-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2250,Sekolah Tinggi Agama Islam Al Bayan Hidayatullah Makasar,Tadris Matematika,S1,2021-09-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2251,Sekolah Tinggi Agama Islam Khas Al-Jaelani,Ekonomi Syariah,S1,2021-09-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2252,Sekolah Tinggi Agama Islam Hasyim Asyari Padangsidimpuan,Pendidikan Islam Anak Usia Dini,S1,2021-09-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2253,Institut Agama Islam Sultan Muhammad Syafiuddin Sambas,Akuntansi Syariah,S1,2021-09-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2254,Institut Dirosat Islamiyah Al-Amien Prenduan Sumenep Madura,Ekonomi Syariah,S1,2021-09-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2255,Institut Agama Islam Tribakti Kediri,Tadris Matematika,S1,2021-09-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2256,Sekolah Tinggi Ilmu Tarbiyah At-Taqwa Ciparay Bandung,Pendidikan Islam Anak Usia Dini,S1,2021-09-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2222,STIE Syariah Imam Syafii Pekanbaru Riau,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2221,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Ilmu Perpustakaan dan Informasi Islam,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2220,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Tadris IPA,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2219,Institut Agama Islam Negeri Madura,Manajemen Bisnis Syariah,S1,2021-09-04,Dikembalikan ke Kementerian (2021-09-21)
2258,Institut Agama Islam Sumbawa,Pariwisata Syariah,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2261,Sekolah Tinggi Agama Islam Morowali,Pendidikan Guru Madrasah Ibtidaiyah,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2259,Sekolah Tinggi Agama Islam Paduka Anambas,Pendidikan Agama Islam,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2224,IAIN Zawiyah Cot Kala Langsa,Pemikiran Politik Islam,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2262,UIN Profesor Kiai Haji Saifuddin Zuhri Purwokerto,Tasawuf dan Psikoterapi,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2263,Institut Agama Islam Sultan Muhammad Syafiuddin Sambas,Ilmu Perpustakaan dan Informasi Islam,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2264,Sekolah Tinggi Agama Islam Raudhatul Akmal,Pendidikan Islam Anak Usia Dini,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2257,Sekolah Tinggi Agama Islam Shalahudin Al Ayubi Jakarta,Pendidikan Guru Madrasah Ibtidaiyah,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2223,Sekolah Tinggi Ilmu Tarbiyah Al-Kifayah Riau,Manajemen Bisnis Syariah,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2260,Fakultas Agama Islam Universitas Pamulang,Manajemen Pendidikan Islam,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
2225,Sekolah Tinggi Agama Islam YAPNAS Jeneponto,Pendidikan Bahasa Arab,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2226,Sekolah Tinggi Ilmu Ushuluddin Al-Mujtama Pamekasan,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2227,Sekolah Tinggi Ilmu Tarbiyah Misbahul Ulum,Perbankan Syariah,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2228,Sekolah Tinggi Ilmu Bahasa Arab Darul Ulum Banyuanyar Pamekasan,Pendidikan Bahasa Arab,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2229,Sekolah Tinggi Agama Islam Bumi Silampari,Pendidikan Islam Anak Usia Dini,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2230,Sekolah Tinggi Agama Islam Persis Garut,Manajemen Keuangan Syariah,S1,2021-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-21)
2184,Universitas Pendidikan Ganesha,Geografi,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2185,Universitas 17 Agustus 1945 Semarang,Pendidikan Kepercayaan Terhadap Tuhan Yang Maha Esa,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2187,Universitas Hang Tuah Pekanbaru,Hukum,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2188,Universitas Mandiri Bina Prestasi,Rekayasa Perangkat Lunak,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2189,Institut Dian Cipta Cendikia,Teknologi Informasi,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2163,Institut Teknologi dan Bisnis Muhammadiyah Bali,Bisnis Digital,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2162,Institut Teknologi dan Bisnis Muhammadiyah Bali,Kewirausahaan,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2161,Universitas Sali Al-Aitaam,Hukum,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2160,Universitas Indonesia Maju,Hukum,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2159,Institut Teknologi Dan Bisnis Muhammadiyah Kolaka,Kewirausahaan,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2158,Universitas Bina Nusantara,PSDKU - Desain Komunikasi Visual,S1,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2315,Politeknik Kepulauan Simeulue,Pengolahan dan Penyimpanan Hasil Perikanan,S1 Terapan,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-06)
2314,Politeknik Kepulauan Simeulue,Budi Daya Ikan,D-III,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-06)
2316,Politeknik Kepulauan Simeulue,Perikanan Tangkap,D-III,2021-09-02,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-10-06)
2201,Institut Agama Islam Negeri Ponorogo,Sejarah Peradaban Islam,S1,2021-08-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2206,Institut Ummul Quro Al- Islami Bogor Jawa Barat,Manajemen Bisnis Syariah,S1,2021-08-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2207,UIN Sultan Aji Muhammad Idris Samarinda,Manajemen Bisnis Syariah,S1,2021-08-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2202,Sekolah Tinggi Agama Islam Syarif Muhammad Raha,Hukum Pidana Islam (Jinayah),S1,2021-08-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2203,Sekolah Tinggi Ilmu Syariah Miftahul Ulum Lumajang,Pendidikan Bahasa Arab,S1,2021-08-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2204,Sekolah Tinggi Agama Islam Hidayatut Thullab,Manajemen Pendidikan Islam,S1,2021-08-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2205,Sekolah Tinggi Ilmu Tarbiyah Islamic Village,Manajemen Pendidikan Islam,S1,2021-08-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2174,Institut Graha Ananda,Bisnis Digital,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2173,Universitas Hang Tuah,Administrasi Publik,S3,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2155,Universitas Indonesia Mandiri,Informatika,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2172,Universitas Riau,Pendidikan,S3,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2171,Universitas PGRI Yogyakarta,Bisnis Digital,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2170,Universitas Pahlawan Tuanku Tambusai,Bisnis Digital,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2169,Universitas Nahdlatul Ulama Maluku Utara (UNUTARA),Perencanaan Wilayah dan Kota,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2156,Universitas Muhammadiyah Bima,Ilmu Komputer,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2176,Institut Teknologi Rokan Hilir,Agroteknologi,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2168,Universitas Ichsan Sidenreng Rappang,Arsitektur,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2165,Institut Teknologi Kristen Regent,Bisnis Digital,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2154,Universitas Indonesia Mandiri,Perpajakan,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2153,Universitas Ichsan Sidenreng Rappang,Pendidikan Teknologi Informasi,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2149,Institut Teknologi dan Bisnis Mitra Gama,Teknik Sipil,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2166,Institut Teknologi Kristen Regent,Kewirausahaan,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2164,Institut Kesehatan Dan Teknologi Pkp Jayakarta,Teknik Lingkungan,S1,2021-08-23,Dikembalikan ke Kementerian (2021-09-07)
2150,Institut Teknologi dan Bisnis Widya Gama Lumajang,Ilmu Komputer,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2152,Universitas Dehasen Bengkulu,Bisnis Digital,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2157,Universitas PGRI Sumatera Barat (UPGRISBA),Kewirausahaan,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2151,Universitas Battuta,Pendidikan Guru Pendidikan Anak Usia Dini,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2175,Institut Teknologi Lombok,Teknik Sistem Energi,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2167,STMIK Profesional Makassar,Ilmu Komputer,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2177,Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang,Rekayasa Perangkat Lunak,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2179,Universitas Nahdlatul Ulama Lampung,Manajemen Retail,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2180,Universitas Nurul Huda,Sains Pertanian,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2181,Universitas Pembangunan Panca Budi,Akuntansi,S2,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2182,Universitas Sali Al-Aitaam,Ilmu Komunikasi,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2183,Universitas Teknologi Sumbawa,Ilmu Perikanan,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2178,Universitas Koperasi Indonesia,Sains Data,S1,2021-08-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2196,Politeknik Negeri Samarinda,Rekayasa Perawatan dan Restorasi Jembatan,S2 Terapan,2021-08-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2117,Sekolah Tinggi Agama Islam Khas Al-Jaelani,Tasawuf dan Psikoterapi,S1,2021-08-19,Dikembalikan ke Kementerian (2021-08-24)
2199,Politeknik Negeri Ujung Pandang,Rekayasa Teknologi Manufaktur,S2 Terapan,2021-08-19,Dikembalikan ke Kementerian (2021-09-07)
2115,Sekolah Tinggi Agama Islam Al-Azhary Cianjur,Bimbingan dan Konseling Pendidikan Islam,S1,2021-08-19,Dikembalikan ke Kementerian (2021-08-24)
2114,Universitas Nahdlatul Ulama Sidoarjo,Pendidikan Guru Madrasah Ibtidaiyah,S1,2021-08-19,Dikembalikan ke Kementerian (2021-08-24)
2116,STIT Misbahul Ulum,Ekonomi Syariah,S1,2021-08-19,Dikembalikan ke Kementerian (2021-08-24)
2113,Sekolah Tinggi Agama Islam Hidayatut Thullab,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,2021-08-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2111,Sekolah Tinggi Agama Islam Nida El Adabi,Manajemen Bisnis Syariah,S1,2021-08-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2110,Sekolah Tinggi Ilmu Ekonomi Syariah Imam Syafi’i Pekanbaru Riau,Manajemen Pendidikan Islam,S1,2021-08-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2109,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Studi Agama Agama,S1,2021-08-19,Dikembalikan ke Kementerian (2021-08-24)
2108,IAIN Syekh Nurjati Cirebon,Pendidikan Jarak Jauh (PJJ) Pendidikan Agama Islam,S1,2021-08-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2112,Sekolah Tinggi Agama Islam Raudhatul Akmal,Ekonomi Syariah,S1,2021-08-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2131,Universitas Adzkia,Sistem Informasi,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2137,Universitas PGRI Mahadewa,Pendidikan Bahasa Indonesia,S2,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2136,Universitas Medan Area,Manajemen,S2,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2135,Universitas Jenderal Achmad Yani,Manajemen Teknologi,S2,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2134,Universitas Jayakarta,Bisnis Digital,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2133,Universitas Djuanda,Ilmu Komputer,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2132,Universitas Al Hikmah Jepara,Teknologi Informasi,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2128,Institut Teknologi Perusahaan Listrik,Teknik Industri,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2130,Sekolah Tinggi Ilmu Hukum (STIH) Saumlaki,Hukum,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2129,Institut Teknologi Sawit Indonesia,Sistem dan Teknologi,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2127,Institut Teknologi Karya Pembangunan Papua,Perencanaan Wilayah dan Kota,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2126,Institut Teknologi Karya Pembangunan Papua,Kewirausahaan,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2124,Institut Teknologi dan Bisnis Jakarta,Perdagangan Internasional,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2123,Institut Teknologi dan Bisnis Jakarta,Kewirausahaan,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2139,Universitas Muhammadiyah Sumatera Utara,Hukum,S3,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2138,Universitas Khairun,Manajemen,S3,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2125,Institut Teknologi dan Bisnis Riyadlul Ulum,Kewirausahaan,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2140,Institut Teknologi Sains Dan Kesehatan Sugeng Hartono,Bisnis Digital,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-31)
2142,Universitas Citra Bangsa,Bisnis Digital,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-31)
2143,Universitas Pahlawan Tuanku,Biologi,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-31)
2144,Universitas Pendidikan Muhammadiyah Sorong,Manajemen,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-31)
2145,Universitas Teknologi Digital Indonesia,Manajemen Retail,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-31)
2146,Universitas Negeri Makassar,Pendidikan Kepelatihan Olahraga,S2,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-31)
2147,Universitas Negeri Surabaya,Teknik Elektro,S2,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2148,Universitas Islam Indonesia,Manajemen,S3,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-31)
2141,Institut Teknologi Sawit Indonesia,Agribisnis,S1,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-31)
2186,"Universitas Tanjungpura, Pontianak",Ilmu Tanah,S2,2021-08-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-04)
2198,Politeknik Lembaga Pendidikan dan Pengembangan Profesi Indonesia,Bisnis Digital,S1 Terapan,2021-08-16,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2102,Institut Agama Islam Negeri Palopo,Akuntansi Syariah,S1,2021-08-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2103,Institut Agama Islam Negeri Kerinci,Tadris Kimia,S1,2021-08-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2104,STAI Darul Ulum Banyuwangi,Komunikasi dan Penyiaran Islam,S1,2021-08-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2105,Sekolah Tinggi Ilmu Al- Quran As-Syifa,Ilmu Al-Qur'an dan Tafsir,S1,2021-08-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2106,Institut Ummul Quro Al- Islami Bogor Jawa Barat,Manajemen Dakwah,S1,2021-08-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2107,Sekolah Tinggi Agama Islam Lukman Edy Pekanbaru,Pendidikan Guru Madrasah Ibtidaiyah,S1,2021-08-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2192,Politeknik Internasional Tamansiswa Mojokerto,Teknologi Listrik,D-III,2021-08-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2200,Politeknik Multimedia Nusantara,Pengelolaan Konvensi dan Acara,S1 Terapan,2021-08-10,Dikembalikan ke Kementerian (2021-09-07)
2197,Politeknik Belitung,Usaha Perjalanan Wisata,S1 Terapan,2021-08-10,Dikembalikan ke Kementerian (2021-09-07)
2195,Politeknik Multimedia Nusantara,Logistik Niaga Elektronik,S1 Terapan,2021-08-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2193,Politeknik Multimedia Nusantara,Animasi,S1 Terapan,2021-08-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2191,Politeknik Internasional Tamansiswa Mojokerto,Teknologi Mesin,D-III,2021-08-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-07)
2190,Politeknik Internasional Tamansiswa Mojokerto,Teknologi Komputer,D-III,2021-08-10,Dikembalikan ke Kementerian (2021-09-07)
2058,Institut Teknologi Kristen Regent,Sistem dan Teknologi Informasi,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2052,Institut Teknologi Perusahaan Listrik Negara,Sistem Informasi,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2053,STKIP Weetebula,Pendidikan Guru Pendidikan Anak Usia Dini,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2054,Universitas Efarina,Pariwisata,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2055,Universitas Muhammadiyah Jember,Teknik Lingkungan,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2056,Universitas Tangerang Raya,Bisnis Digital,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2057,Universitas Bina Nusantara,Teknik Industri,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2122,Universitas Doktor Husni Ingratubun Tual,Pendidikan Bahasa Inggris,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2041,Institut Agama Islam Sumbawa,Tadris Bahasa Inggris,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-10)
2059,Institut Teknologi Kristen Regent,Rekayasa Perangkat Lunak,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2060,Sekolah Tinggi Ilmu Hukum Said Perintah,Hukum,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2061,Universitas Ichsan Sidenreng Rappang,Informatika,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2062,Universitas Ichsan Sidenreng Rappang,Proteksi Tanaman,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2063,Universitas Nurul Huda,Informatika,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-18)
2121,Universitas Adzkia,Teknik Industri,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-24)
2042,STAI Lukman Edy Pekanbaru,Manajemen Bisnis Syariah,S1,2021-08-05,Dikembalikan ke Kementerian (2021-08-10)
2040,Institut Agama Islam Sumbawa,Pendidikan Guru Madrasah Ibtidaiyah,S1,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-08-10)
2244,Politeknik Negeri Semarang,Teknologi Rekayasa Elektronika,S1 Terapan,2021-08-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2021-09-28)
