No,Provinsi SPPG,Kab./Kota SPPG,Alamat Dapur SPPG,Nama Yayasan
39,Dki Jakarta,Jakarta Selatan,"Jalan Kebayoran Lama Raya No. 35a Rt.004 Rw.010, Grogol Selatan Kebayoran Lama",Yayasan Taruna Mandiri Riau
40,Dki Jakarta,Jakarta Selatan,"Jl. Siaga No.14, Rt.16/Rw.4, Pejaten Barat, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibujakarta 12510",Yayasan Kemala Bhayangkari
41,Dki Jakarta,Jakarta Selatan,"Jl. Samali Ujung 1. Rt 011 Rw 04 Nomor 36 Pejaten Barat, Pasar Minggu",Yayasan Bakti Ibu Sejahtera
42,Dki Jakarta,Jakarta Timur,"Jl. Cipinang Lontar Indah, Rt.10/Rw.6, Kelurahan Cipinang Muara, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Yayasan Pendidikan Al Qur'an Nurul Huda
43,Dki Jakarta,Jakarta Timur,"Kampung Rawaterate Rt 001/002, Nomor 112",Pemuda Pewaris Kebaikan
44,Dki Jakarta,Jakarta Timur,"Jl. Merpati 2, Rt.2/Rw.2, Kp. Tengah, Kec. Kramat Jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Yayasan Lumbung Unnati Utama
45,Dki Jakarta,Jakarta Timur,"Jl. Raya Jatiwaringin, No. 42, Rt.05/Rw.05, Cipinang Melayu, Kec. Makasar, Jakarta Timur",Yayasan Rahmatan Lil Alamin Indonesia
46,Dki Jakarta,Jakarta Timur,"Jl. Bekasi Timur Raya No.86, Rt.8/Rw.6, Cipinang, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta.",Yayasan Kemala Bhayangkari
47,Dki Jakarta,Jakarta Timur,"Jl. Merpati 2, Rt.2/Rw.2, Kp. Tengah, Kec. Kramat Jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Yayasan Lumbung Unnati Utama
48,Gorontalo,Gorontalo,"Jl. Husin Bilondato, Ds. Mongolato, Telaga, Gorontalo, Prov. Gorontalo",Rumah Nurul Ilm
49,Gorontalo,Pohuwato,"Jl. Umahani, Desa Marisa Utara, Marisa, Pohuwato",Rumah Nurul Ilm
50,Jawa Barat,Bekasi,"Kp Cimahi Rt 07/Rw 03, Desa Sukamahi, Kecamatan Cikarang Pusat, Kabupaten Bekasi, Jawa Barat",Yayasan Timur Bangkit Peduli
51,Jawa Barat,Bogor,Jl.M Bakri No 5b Rt 01/ Rw 02 Singajaya Jonggol Bogor 16830,Yayasan Indonesia Food Security Review
52,Jawa Barat,Garut,"Jl. Garut - Tasikmalaya No.36, Rt.001/Rw.002, Ngamplangsari, Kec. Cilawu, Kabupaten Garut, Jawa Barat",Persyarikatan Muhammadiyah
53,Jawa Barat,Karawang,"Jl. Pasundan No. 101, Adiarsa Barat, Kec. Karawang Barat, Karawang,  Jawa Barat",Yayasan Indonesia Food Security Review
54,Jawa Barat,Bandung,Kp Cimenteng Rt 02 Rw 16 Kel. Jagabaya Kec Cimaung,Yayasan Muhammad Ar Ravi Al Khaidar
55,Jawa Barat,Bandung,Kp Pesanggrahan Rt 01 Rw 07 Ds Pangalengan Kec Pangalengan Bandung,Yayasan Buana Mutiara Insani
